 QPS Model Number of Segments: 25
 Number of Profile Heights: 53
 Ht(km)  Ym(MHz)  qp_Ne(m-3)     Ne(m-3)     diff-Ne
   70.0   0.0000  0.0000e+00  4.0832e+07
   80.0   0.2633  8.5960e+08  3.3141e+08  5.2819e+08
   90.0   0.7018  6.1081e+09  3.0278e+09  3.0803e+09
  100.0   0.9686  1.1634e+10  1.3428e+10 -1.7936e+09
  110.0   1.0070  1.2575e+10  1.4140e+10 -1.5650e+09
  120.0   0.9427  1.1020e+10  1.0666e+10  3.5378e+08
  130.0   0.9632  1.1505e+10  1.0703e+10  8.0173e+08
  140.0   1.0643  1.4046e+10  1.4163e+10 -1.1664e+08
  150.0   1.1634  1.6784e+10  1.7500e+10 -7.1646e+08
  160.0   1.2650  1.9844e+10  2.2089e+10 -2.2454e+09
  170.0   1.4747  2.6967e+10  2.8963e+10 -1.9955e+09
  180.0   1.8774  4.3707e+10  4.2184e+10  1.5230e+09
  190.0   2.4203  7.2634e+10  7.1019e+10  1.6154e+09
  200.0   2.9581  1.0851e+11  1.0656e+11  1.9463e+09
  210.0   3.4330  1.4614e+11  1.4410e+11  2.0428e+09
  220.0   3.8078  1.7979e+11  1.7807e+11  1.7206e+09
  230.0   4.0537  2.0377e+11  2.0393e+11 -1.6409e+08
  240.0   4.1944  2.1816e+11  2.1960e+11 -1.4439e+09
  250.0   4.2590  2.2493e+11  2.2585e+11 -9.2032e+08
  260.0   4.2695  2.2603e+11  2.2571e+11  3.2181e+08
  270.0   4.2266  2.2151e+11  2.2190e+11 -3.8637e+08
  280.0   4.1520  2.1377e+11  2.1520e+11 -1.4303e+09
  290.0   4.0676  2.0517e+11  2.0634e+11 -1.1740e+09
  300.0   3.9728  1.9571e+11  1.9598e+11 -2.6960e+08
  310.0   3.8655  1.8528e+11  1.8472e+11  5.6497e+08
  320.0   3.7435  1.7377e+11  1.7304e+11  7.3324e+08
  330.0   3.6054  1.6119e+11  1.6133e+11 -1.4495e+08
  340.0   3.4640  1.4879e+11  1.4987e+11 -1.0785e+09
  350.0   3.3342  1.3785e+11  1.3885e+11 -1.0015e+09
  360.0   3.2172  1.2834e+11  1.2840e+11 -5.6616e+07
  370.0   3.1037  1.1945e+11  1.1860e+11  8.4620e+08
  380.0   2.9830  1.1034e+11  1.0948e+11  8.5688e+08
  390.0   2.8542  1.0102e+11  1.0105e+11 -3.2580e+07
  400.0   2.7292  9.2363e+10  9.3284e+10 -9.2094e+08
  410.0   2.6218  8.5239e+10  8.6160e+10 -9.2126e+08
  420.0   2.5341  7.9631e+10  7.9638e+10 -6.9349e+06
  430.0   2.4524  7.4575e+10  7.3679e+10  8.9628e+08
  440.0   2.3609  6.9118e+10  6.8239e+10  8.7894e+08
  450.0   2.2587  6.3263e+10  6.3275e+10 -1.2386e+07
  460.0   2.1600  5.7851e+10  5.8747e+10 -8.9619e+08
  470.0   2.0813  5.3714e+10  5.4615e+10 -9.0079e+08
  480.0   2.0249  5.0842e+10  5.0843e+10 -1.3017e+06
  490.0   1.9734  4.8290e+10  4.7398e+10  8.9193e+08
  500.0   1.9077  4.5126e+10  4.4249e+10  8.7750e+08
  510.0   1.8263  4.1357e+10  4.1367e+10 -1.0237e+07
  520.0   1.7468  3.7838e+10  3.8728e+10 -8.9020e+08
  530.0   1.6900  3.5417e+10  3.6308e+10 -8.9124e+08
  540.0   1.6579  3.4084e+10  3.4085e+10 -8.3437e+05
  550.0   1.6295  3.2925e+10  3.2043e+10  8.8229e+08
  560.0   1.5821  3.1036e+10  3.0163e+10  8.7294e+08
  570.0   1.5140  2.8422e+10  2.8431e+10 -8.5590e+06
  580.0   1.4466  2.5950e+10  2.6833e+10 -8.8347e+08
  590.0   1.4048  2.4472e+10  2.5356e+10 -8.8396e+08
