yyyy.MM.dd (DDD) HH:mm:ss C-score   foF2  foF1   foE  foEs   h`Es   hmF2   hmF1    hmE    B0   B1   D1

2015.10.20 (293) 00:00:00     100  9.212   ---   ---   ---   ---   275.3    ---    ---  71.2 4.99  ---
2015.10.20 (293) 00:15:00     100  8.900   ---   ---   ---   ---   287.4    ---    ---  96.9 2.44  ---
2015.10.20 (293) 00:30:00     100  8.700   ---   ---   ---   ---   272.2    ---    ---  73.5 2.37  ---
2015.10.20 (293) 00:45:00     100  8.100   ---   ---   ---   ---   302.7    ---    --- 117.9 2.16  ---
2015.10.20 (293) 01:00:00     100  6.600   ---   ---   ---   ---   246.6    ---    ---  59.3 4.39  ---
2015.10.20 (293) 01:15:00     100  5.600   ---   ---   ---   ---   267.1    ---    ---  73.6 2.37  ---
2015.10.20 (293) 01:30:00     100  4.600   ---   ---   ---   ---   233.9    ---    ---  42.1 5.84  ---
2015.10.20 (293) 01:45:00     100  4.300   ---   ---   ---   ---   326.6    ---    --- 124.0 2.21  ---
2015.10.20 (293) 02:00:00     100  3.700   ---   ---   ---   ---   286.1    ---    ---  66.1 6.00  ---
2015.10.20 (293) 02:15:00     100  3.700   ---   ---   ---   ---   348.8    ---    ---  92.6 6.00  ---
2015.10.20 (293) 02:30:00     100  3.900   ---   ---   ---   ---   334.0    ---    --- 101.1 4.59  ---
2015.10.20 (293) 02:45:00     100  4.200   ---   ---   ---   ---   314.1    ---    ---  77.0 3.66  ---
2015.10.20 (293) 03:00:00     100  4.300   ---   ---   ---   ---   276.2    ---    ---  51.0 3.53  ---
2015.10.20 (293) 03:15:00     100  4.100   ---   ---   ---   ---   266.4    ---    ---  52.5 4.66  ---
2015.10.20 (293) 03:30:00     100  3.800   ---   ---   ---   ---   293.4    ---    ---  87.2 2.49  ---
2015.10.20 (293) 03:45:00     100  3.700   ---   ---   ---   ---   317.3    ---    --- 104.1 2.43  ---
2015.10.20 (293) 04:00:00     100  3.800   ---   ---   ---   ---   330.8    ---    --- 107.1 3.80  ---
2015.10.20 (293) 04:15:00     100  3.800   ---   ---   ---   ---   322.2    ---    ---  88.6 3.84  ---
2015.10.20 (293) 04:30:00     100  3.700   ---   ---   ---   ---   316.2    ---    ---  90.0 3.90  ---
2015.10.20 (293) 04:45:00     100  3.600   ---   ---   ---   ---   325.1    ---    ---  95.7 3.70  ---
2015.10.20 (293) 05:00:00     100  3.600   ---   ---   ---   ---   336.1    ---    ---  88.7 3.79  ---
2015.10.20 (293) 05:15:00     100  3.600   ---   ---   ---   ---   340.9    ---    ---  88.6 4.29  ---
2015.10.20 (293) 05:30:00     100  3.800   ---   ---   ---   ---   336.4    ---    ---  80.7 3.32  ---
2015.10.20 (293) 05:45:00     100  3.800   ---   ---   ---   ---   324.3    ---    ---  71.2 3.31  ---
2015.10.20 (293) 06:00:00     100  3.900   ---   ---   ---   ---   338.3    ---    ---  88.3 3.55  ---
2015.10.20 (293) 06:15:00     100  3.900   ---   ---   ---   ---   336.3    ---    ---  80.9 3.24  ---
2015.10.20 (293) 06:30:00     100  4.000   ---   ---   ---   ---   346.4    ---    ---  87.9 3.26  ---
2015.10.20 (293) 06:45:00     100  4.100   ---   ---   ---   ---   344.5    ---    ---  82.9 3.22  ---
2015.10.20 (293) 07:00:00     100  4.200   ---   ---   ---   ---   349.0    ---    ---  86.5 3.47  ---
2015.10.20 (293) 07:15:00     100  4.100   ---   ---   ---   ---   347.9    ---    ---  85.2 2.89  ---
2015.10.20 (293) 07:30:00     100  4.400   ---   ---   ---   ---   375.0    ---    --- 105.5 3.52  ---
2015.10.20 (293) 07:45:00     100  4.400   ---   ---   ---   ---   350.4    ---    ---  85.1 3.02  ---
2015.10.20 (293) 08:00:00     100  4.300   ---   ---   ---   ---   348.3    ---    ---  85.7 3.03  ---
2015.10.20 (293) 08:15:00     100  4.300   ---   ---   ---   ---   350.7    ---    ---  87.9 3.00  ---
2015.10.20 (293) 08:30:00     100  4.300   ---   ---   ---   ---   359.1    ---    ---  96.2 3.41  ---
2015.10.20 (293) 08:45:00     100  4.300   ---   ---   ---   ---   348.9    ---    ---  85.1 2.90  ---
2015.10.20 (293) 09:00:00     100  4.400   ---   ---   ---   ---   345.3    ---    ---  85.5 3.36  ---
2015.10.20 (293) 09:15:00     100  4.500   ---   ---   ---   ---   356.5    ---    ---  94.9 3.18  ---
2015.10.20 (293) 09:30:00     100  4.500   ---   ---   ---   ---   344.4    ---    ---  85.5 3.06  ---
2015.10.20 (293) 09:45:00     100  4.300   ---   ---   ---   ---   323.9    ---    ---  69.6 2.96  ---
2015.10.20 (293) 10:00:00     100  4.700   ---   ---   ---   ---   337.1    ---    ---  88.4 3.33  ---
2015.10.20 (293) 10:15:00     100  4.900   ---   ---   ---   ---   352.8    ---    --- 117.6 2.36  ---
2015.10.20 (293) 10:30:00     100  4.800   ---   ---   ---   ---   309.2    ---    ---  79.9 3.94  ---
2015.10.20 (293) 10:45:00     100  4.900   ---   ---   ---   ---   301.9    ---    ---  72.6 3.46  ---
2015.10.20 (293) 11:00:00     100  4.900   ---   ---   ---   ---   328.2    ---    --- 109.0 2.39  ---
2015.10.20 (293) 11:15:00     100  4.900   ---   ---   ---   ---   309.6    ---    ---  85.4 3.43  ---
2015.10.20 (293) 11:30:00     100  4.900   ---   ---   ---   ---   310.5    ---    ---  81.1 3.40  ---
2015.10.20 (293) 11:45:00     100  4.900   ---   ---   ---   ---   310.0    ---    ---  78.9 3.22  ---
2015.10.20 (293) 12:00:00     100  5.100   ---   ---   ---   ---   318.8    ---    ---  97.0 3.27  ---
2015.10.20 (293) 12:15:00     100  5.500   ---   ---   ---   ---   306.8    ---    ---  90.4 3.12  ---
2015.10.20 (293) 12:30:00     100  5.850   ---   ---   ---   ---   271.3    ---    ---  69.9 2.89  ---
2015.10.20 (293) 12:45:00     100  6.400   ---   ---   ---   ---   236.6    ---    ---  65.2 2.07  ---
2015.10.20 (293) 13:00:00     100  6.450   ---   ---   ---   ---   228.8    ---    ---  66.6 2.10  ---
2015.10.20 (293) 13:15:00     100  7.100   ---   ---   ---   ---   253.0    ---    ---  71.9 4.58  ---
2015.10.20 (293) 13:30:00     100  7.450   ---   ---   ---   ---   269.6    ---    ---  97.5 4.34  ---
2015.10.20 (293) 14:00:00     100  7.807   ---   ---   ---   ---   247.0    ---    ---  73.5 2.70  ---
2015.10.20 (293) 14:15:00     100  8.900   ---   ---   ---   ---   269.2    ---    --- 115.1 3.37  ---
2015.10.20 (293) 14:30:00     100  8.500   ---   ---   ---   ---   228.2    ---    ---  62.5 1.91  ---
2015.10.20 (293) 14:45:00     100  8.400   ---   ---   ---   ---   224.2    ---    ---  63.7 1.77  ---
2015.10.20 (293) 15:00:00     100  8.200   ---   ---   ---   ---   224.7    ---    ---  66.6 2.01  ---
2015.10.20 (293) 15:15:00     100  8.425   ---   ---   ---   ---   271.6    ---    --- 130.9 2.16  ---
2015.10.20 (293) 15:30:00     100  8.650   ---   ---   ---   ---   243.1    ---    ---  87.3 1.49  ---
2015.10.20 (293) 15:45:00     100  9.012   ---   ---   ---   ---   261.6    ---    --- 100.2 2.02  ---
2015.10.20 (293) 16:00:00     100  9.450   ---   ---   ---   ---   251.0    ---    ---  72.3 2.04  ---
2015.10.20 (293) 16:15:00     100  9.607   ---   ---   ---   ---   256.9    ---    ---  90.1 2.24  ---
2015.10.20 (293) 16:30:00     100  9.725   ---   ---   ---   ---   249.3    ---    ---  82.8 2.04  ---
2015.10.20 (293) 16:45:00     100  9.550   ---   ---   ---   ---   256.9    ---    ---  87.4 3.27  ---
2015.10.20 (293) 17:00:00     100  9.450   ---   ---   ---   ---   278.9    ---    --- 111.4 4.21  ---
2015.10.20 (293) 17:15:00     100  9.206   ---   ---   ---   ---   253.7    ---    ---  99.3 1.82  ---
2015.10.20 (293) 17:30:00     100  9.250   ---   ---   ---   ---   256.4    ---    ---  99.4 2.14  ---
2015.10.20 (293) 17:45:00     100  9.150   ---   ---   ---   ---   252.4    ---    --- 100.6 1.86  ---
2015.10.20 (293) 18:00:00     100  9.125   ---   ---   ---   ---   270.7    ---    --- 121.7 2.29  ---
2015.10.20 (293) 18:15:00     100  9.212   ---   ---   ---   ---   277.0    ---    ---  67.9 5.09  ---
2015.10.20 (293) 18:30:00     100  8.850   ---   ---   ---   ---   274.3    ---    --- 126.1 3.50  ---
2015.10.20 (293) 18:45:00     100  8.350   ---   ---   ---   ---   272.3    ---    --- 144.4 2.05  ---
2015.10.20 (293) 19:00:00     100  8.550   ---   ---   ---   ---   268.0    ---    --- 109.3 1.66  ---
