yyyy.MM.dd (DDD) HH:mm:ss C-score   foF2  foF1   foE  foEs   h`Es   hmF2   hmF1    hmE    B0   B1   D1

2015.10.20 (293) 00:00:00     100  8.150   ---   ---   ---   ---   259.4    ---    ---  58.0 2.73  ---
2015.10.20 (293) 00:15:00     100  8.050   ---   ---   ---   ---   265.4    ---    ---  62.6 2.55  ---
2015.10.20 (293) 00:30:00     100  8.050   ---   ---   ---   ---   265.4    ---    ---  53.5 3.22  ---
2015.10.20 (293) 00:45:00     100  7.800   ---   ---   ---   ---   264.3    ---    ---  52.4 4.23  ---
2015.10.20 (293) 01:00:00     100  7.050   ---   ---   ---   ---   238.6    ---    ---  35.7 2.35  ---
2015.10.20 (293) 01:15:00     100  6.350   ---   ---   ---   ---   255.8    ---    ---  51.6 3.27  ---
2015.10.20 (293) 01:30:00     100  5.200   ---   ---   ---   ---   241.9    ---    ---  42.1 2.74  ---
2015.10.20 (293) 01:45:00     100  4.750   ---   ---   ---   ---   264.6    ---    ---  59.9 5.15  ---
2015.10.20 (293) 02:00:00     100  4.000   ---   ---   ---   ---   257.4    ---    ---  53.4 4.03  ---
2015.10.20 (293) 02:15:00     100  3.800   ---   ---   ---   ---   300.9    ---    ---  70.9 3.86  ---
2015.10.20 (293) 02:30:00     100  3.850   ---   ---   ---   ---   276.6    ---    ---  46.0 2.67  ---
2015.10.20 (293) 02:45:00     100  3.650   ---   ---   ---   ---   267.4    ---    ---  46.3 6.00  ---
2015.10.20 (293) 03:00:00     100  3.400   ---   ---   ---   ---   294.6    ---    ---  61.7 6.00  ---
2015.10.20 (293) 03:15:00     100  2.950   ---   ---   ---   ---   281.1    ---    ---  44.1 3.51  ---
2015.10.20 (293) 03:30:00     100  2.950   ---   ---   ---   ---   295.2    ---    ---  49.1 3.97  ---
2015.10.20 (293) 03:45:00     100  2.900   ---   ---   ---   ---   281.0    ---    ---  41.8 3.42  ---
2015.10.20 (293) 04:00:00     100  2.800   ---   ---   ---   ---   290.1    ---    ---  46.2 4.68  ---
2015.10.20 (293) 04:15:00     100  2.650   ---   ---   ---   ---   276.8    ---    ---  37.9 2.96  ---
2015.10.20 (293) 04:30:00     100  2.500   ---   ---   ---   ---   296.2    ---    ---  49.5 2.25  ---
2015.10.20 (293) 04:45:00     100  2.400   ---   ---   ---   ---   302.7    ---    ---  54.2 2.08  ---
2015.10.20 (293) 05:00:00     100  2.550   ---   ---   ---   ---   339.9    ---    ---  76.6 1.94  ---
2015.10.20 (293) 05:15:00     100  2.450   ---   ---   ---   ---   335.4    ---    ---  75.1 2.39  ---
2015.10.20 (293) 05:30:00     100  2.450   ---   ---   ---   ---   326.6    ---    ---  68.5 2.11  ---
2015.10.20 (293) 05:45:00     100  2.400   ---   ---   ---   ---   315.7    ---    ---  61.6 2.16  ---
2015.10.20 (293) 06:00:00     100  2.450   ---   ---   ---   ---   318.2    ---    ---  62.5 1.75  ---
2015.10.20 (293) 06:15:00     100  2.700   ---   ---   ---   ---   349.4    ---    ---  82.4 3.23  ---
2015.10.20 (293) 06:30:00     100  2.650   ---   ---   ---   ---   329.7    ---    ---  69.8 2.52  ---
2015.10.20 (293) 06:45:00     100  2.700   ---   ---   ---   ---   323.5    ---    ---  64.0 1.99  ---
2015.10.20 (293) 07:00:00     100  2.750   ---   ---   ---   ---   327.5    ---    ---  66.7 2.10  ---
2015.10.20 (293) 07:15:00     100  2.900   ---   ---   ---   ---   356.8    ---    ---  86.4 3.34  ---
2015.10.20 (293) 07:30:00     100  2.800   ---   ---   ---   ---   332.9    ---    ---  68.8 1.89  ---
2015.10.20 (293) 07:45:00     100  2.900   ---   ---   ---   ---   346.2    ---    ---  79.4 2.24  ---
2015.10.20 (293) 08:00:00     100  2.900   ---   ---   ---   ---   347.4    ---    ---  78.3 2.06  ---
2015.10.20 (293) 08:15:00     100  2.950   ---   ---   ---   ---   350.3    ---    ---  80.3 2.13  ---
2015.10.20 (293) 08:30:00     100  2.950   ---   ---   ---   ---   343.3    ---    ---  75.3 1.94  ---
2015.10.20 (293) 08:45:00     100  3.000   ---   ---   ---   ---   334.2    ---    ---  69.5 1.89  ---
2015.10.20 (293) 09:00:00     100  3.200   ---   ---   ---   ---   356.0    ---    ---  85.0 2.27  ---
2015.10.20 (293) 09:15:00     100  3.300   ---   ---   ---   ---   353.8    ---    ---  83.3 2.25  ---
2015.10.20 (293) 09:30:00     100  3.250   ---   ---   ---   ---   342.4    ---    ---  77.7 2.24  ---
2015.10.20 (293) 09:45:00     100  3.250   ---   ---   ---   ---   336.9    ---    ---  71.1 1.89  ---
2015.10.20 (293) 10:00:00     100  3.350   ---   ---   ---   ---   327.5    ---    ---  66.9 2.07  ---
2015.10.20 (293) 10:15:00     100  3.450   ---   ---   ---   ---   331.5    ---    ---  72.1 2.42  ---
2015.10.20 (293) 10:30:00     100  3.450   ---   ---   ---   ---   333.4    ---    ---  72.0 2.31  ---
2015.10.20 (293) 10:45:00     100  3.300   ---   ---   ---   ---   313.7    ---    ---  59.6 1.92  ---
2015.10.20 (293) 11:00:00     100  3.500   ---   ---   ---   ---   329.6    ---    ---  71.4 2.33  ---
2015.10.20 (293) 11:15:00     100  3.550   ---   ---   ---   ---   323.9    ---    ---  70.7 2.46  ---
2015.10.20 (293) 11:30:00     100  3.350   ---   ---   ---   ---   302.1    ---    ---  55.3 1.86  ---
2015.10.20 (293) 11:45:00     100  3.600   ---   ---   ---   ---   311.6    ---    ---  64.1 2.21  ---
2015.10.20 (293) 12:00:00     100  3.650   ---   ---   ---   ---   296.8    ---    ---  58.0 2.38  ---
2015.10.20 (293) 12:15:00     100  3.700   ---   ---   ---   ---   291.4    ---    ---  60.1 2.92  ---
2015.10.20 (293) 12:30:00     100  3.600   ---   ---   ---   ---   281.7    ---    ---  60.3 2.75  ---
2015.10.20 (293) 12:45:00     100  3.850   ---   ---   ---   ---   281.4    ---    ---  63.7 2.15  ---
2015.10.20 (293) 13:00:00     100  4.150   ---   ---   ---   ---   254.8    ---    ---  54.1 1.97  ---
2015.10.20 (293) 13:15:00     100  4.800   ---   ---   ---   ---   243.9    ---    ---  57.3 1.83  ---
2015.10.20 (293) 13:30:00     100  5.250   ---   ---   ---   ---   237.7    ---    ---  59.0 1.96  ---
2015.10.20 (293) 13:45:00     100  5.650   ---   ---   ---   ---   238.4    ---    ---  58.3 2.05  ---
2015.10.20 (293) 14:00:00     100  6.450   ---   ---   ---   ---   248.2    ---    ---  68.9 2.24  ---
2015.10.20 (293) 14:15:00     100  7.000   ---   ---   ---   ---   251.6    ---    ---  73.3 2.22  ---
2015.10.20 (293) 14:30:00     100  7.250   ---   ---   ---   ---   228.9    ---    ---  58.0 1.73  ---
2015.10.20 (293) 14:45:00     100  7.250   ---   ---   ---   ---   230.9    ---    ---  61.3 1.58  ---
2015.10.20 (293) 15:00:00     100  7.500   ---   ---   ---   ---   231.5    ---    ---  76.3 1.60  ---
2015.10.20 (293) 15:15:00     100  7.906   ---   ---   ---   ---   248.2    ---    ---  58.1 2.42  ---
