yyyy.MM.dd (DDD) HH:mm:ss C-score   foF2  foF1   foE  foEs   h`Es   hmF2   hmF1    hmE    B0   B1   D1

2015.10.20 (293) 00:00:00     100  7.175   ---   ---   ---   ---   255.8    ---    ---  37.2 4.23  ---
2015.10.20 (293) 00:15:00     100  6.200   ---   ---   ---   ---   236.8    ---    ---  28.1 1.69  ---
2015.10.20 (293) 00:30:00     100  5.800   ---   ---   ---   ---   248.6    ---    ---  50.2 2.26  ---
2015.10.20 (293) 00:45:00     100  5.050   ---   ---   ---   ---   257.5    ---    ---  58.4 2.29  ---
2015.10.20 (293) 01:00:00     100  4.600   ---   ---   ---   ---   262.6    ---    ---  43.9 4.10  ---
2015.10.20 (293) 01:15:00     100  4.000   ---   ---   ---   ---   276.8    ---    ---  37.8 4.97  ---
2015.10.20 (293) 01:30:00     100  4.100   ---   ---   ---   ---   286.9    ---    ---  73.8 2.16  ---
2015.10.20 (293) 01:45:00     100  4.225   ---   ---   ---   ---   326.1    ---    ---  60.8 3.68  ---
2015.10.20 (293) 02:00:00     100  4.550   ---   ---   ---   ---   311.6    ---    ---  49.7 3.73  ---
2015.10.20 (293) 02:15:00     100  4.725   ---   ---   ---   ---   313.2    ---    ---  51.5 3.55  ---
2015.10.20 (293) 02:30:00     100  4.925   ---   ---   ---   ---   311.9    ---    ---  52.6 3.06  ---
2015.10.20 (293) 02:45:00     100  4.975   ---   ---   ---   ---   294.8    ---    ---  44.0 2.46  ---
2015.10.20 (293) 03:00:00     100  4.800   ---   ---   ---   ---   293.8    ---    ---  47.8 2.92  ---
2015.10.20 (293) 03:15:00     100  4.825   ---   ---   ---   ---   302.3    ---    ---  74.1 2.20  ---
2015.10.20 (293) 03:30:00     100  4.750   ---   ---   ---   ---   324.0    ---    ---  60.6 5.52  ---
2015.10.20 (293) 03:45:00     100  4.750   ---   ---   ---   ---   324.1    ---    ---  60.5 4.08  ---
2015.10.20 (293) 04:00:00     100  4.775   ---   ---   ---   ---   311.5    ---    ---  55.9 2.32  ---
2015.10.20 (293) 04:15:00     100  4.725   ---   ---   ---   ---   325.1    ---    ---  63.5 3.93  ---
2015.10.20 (293) 04:30:00     100  4.575   ---   ---   ---   ---   312.7    ---    ---  72.5 2.15  ---
2015.10.20 (293) 04:45:00     100  4.750   ---   ---   ---   ---   337.1    ---    ---  65.7 3.88  ---
